"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"EC VOTER
COUNTS",ANALYZED VOTER COUNT
22469,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,15,LEIKO,02,LWANGA CHURCH,137,193,,330,330
22470,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,15,LEIKO,03,AYUME MEMORIAL S.S,396,444,,840,840
22471,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,15,LEIKO,04,LEIKO PRI. SCHOOL,338,313,,651,651
22472,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,23,ALLA,02,RONYI MOSQUE,347,267,,614,614
22473,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,23,ALLA,03,LUSUGO MOSQUE,98,107,,205,205
22474,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,23,ALLA,04,"GINYAKO  PRIMARY
SCHOOL",279,200,,480,479
22475,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,31,NYANGAZIA,01,"NYAGAZIA CATHOLIC
CHURCH",332,281,,613,613
22476,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,31,NYANGAZIA,02,"DRANYA  PRIMARY
SCHOOL",212,220,,432,432
22477,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,33,AUNGA,01,"DRANYA HEALTH
CENTRE",362,335,,697,697
22478,66,KOBOKO,008,KOBOKO COUNTY,07,DRANYA,33,AUNGA,03,ANYANGAKU,364,294,,658,658
22479,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,02,GUREPI,02,"ARINGILI TRADING
CENTRE",258,266,,524,524
22480,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,02,GUREPI,03,AUNGA P.7 SCHOOL,315,247,,562,562
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22481,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,02,GUREPI,06,LICHOBE MOSQUE,170,144,,314,314
22482,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,04,LONGIRA,01,MIDORU,380,375,,756,755
22483,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,04,LONGIRA,02,KELA PRIMARY SCHOOL,102,100,,203,202
22484,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,05,LUDARA,01,LIMA PRIMARY SCHOOL,215,219,,436,434
22485,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,05,LUDARA,02,CHOKIMADA MOSQUE,375,327,,706,702
22486,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,05,LUDARA,03,"OJIPAKU TRADING
CENTRE",179,185,,366,364
22487,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,05,LUDARA,04,"INDIGA HILL PRIMARY
SCHOOL",127,130,,258,257
22488,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,05,LUDARA,05,OJIPAKU MOSQUE,214,184,,399,398
22489,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,39,BAMURE,01,"LOGBORONGA TREE
SHADE",95,55,,151,150
22490,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,39,BAMURE,02,ROBE TRADING CENTRE,128,110,,239,238
22491,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,39,BAMURE,03,BAMURE T/C,269,258,,528,527
22492,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,39,BAMURE,04,GANGU,102,63,,165,165
22493,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,40,CHAKULIA,01,CHAKULIA  PRI SCH A,384,331,,716,715
22494,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,40,CHAKULIA,02,CHAKULIA  PRI SCH B,413,288,,701,701
22495,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,41,KECHI,01,GOYA PRI SCH,369,334,,704,703
22496,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,41,KECHI,02,KUKUNGA MOSQUE,190,193,,383,383
22497,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,42,LIMA,01,"MADIKINI PRIMARY
SCHOOL",267,219,,488,486
22498,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,42,LIMA,02,"LIMA TRADING CENTRE
A‐C",291,240,,531,531
22499,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,42,LIMA,03,"LIMA TRADING CENTRE
D‐Z",308,284,,594,592
22500,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,43,NYAJO,02,GUREPI P.7. SCHOOL,360,311,,673,671
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22501,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,43,NYAJO,03,BONYERE MOSQUE,153,142,,297,295
22502,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,43,NYAJO,04,LOKIRI P.7. SCHOOL,184,192,,378,376
22503,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,44,PODO,01,URICAKU TREE SHADE,224,209,,436,433
22504,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",03,LUDARA,44,PODO,02,"ARINDRUE PRI
SCH/AWUBA CHAPEL",254,212,,469,466
22505,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,13,METINO,02,YAYA TREE SHADE,214,212,,426,426
22506,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,13,METINO,03,MANIBE TREE SHADE,342,330,,672,672
22507,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,13,METINO,04,YUKULIA MANGO TREE,159,126,,285,285
22508,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,18,NYAI,01,NYAI PRIMARY SCHOOL,361,375,,736,736
22509,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,18,NYAI,02,BIRUNDU MANGO TREE,137,119,,256,256
22510,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,18,NYAI,06,MILANGO MOSQUE,128,116,,244,244
22511,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,19,GBOROKOLONGO,01,"GBOROKOLONGO
HEALTH CENTRE",352,314,,666,666
22512,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,19,GBOROKOLONGO,02,IBANGA TREE SHADE,225,185,,410,410
22513,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,24,NYORICHEKU,01,"NYORICHEKU PRIMARY
SCHOOL",239,221,,460,460
22514,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,24,NYORICHEKU,02,"ARUMADRI MANGO
TREE",166,146,,312,312
22515,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,30,ONYOKUNGA,01,"MBILI PRIMARY
SCHOOL",119,91,,210,210
22516,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,30,ONYOKUNGA,02,MBILI TREE SHADE,127,110,,237,237
22517,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,30,ONYOKUNGA,04,KONYUKE  TREE SHADE,125,106,,231,231
22518,66,KOBOKO,266,"KOBOKO NORTH
COUNTY",06,ABUKU,30,ONYOKUNGA,05,"KOMBA PRIMARY
SCHOOL",242,223,,465,465
22519,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,06,OMBACI WARD,01,YOUNG STAR,289,224,,513,513
22520,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,06,OMBACI WARD,02,NYARILO PRI. SCHOOL,126,119,,245,245
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22521,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,06,OMBACI WARD,03,OMBACI SELF HELP S.S,412,305,,717,717
22522,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,06,OMBACI WARD,40,"DAYSTAR SECONDARY
SCHOOL",243,232,,475,475
22523,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,06,OMBACI WARD,41,ASUBALA MANGO TREE,67,62,,129,129
22524,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,27,TEREMUNGA WARD,01,TEREMUNGA,270,236,,506,506
22525,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,27,TEREMUNGA WARD,02,"KOBOKO GOSPEL
CHURCH",409,478,,887,887
22526,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,27,TEREMUNGA WARD,03,NOOR ISLAMIC,175,159,,334,334
22527,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,28,TRIANGLE WARD,01,EDEN P.7 SCHOOL,274,198,,472,472
22528,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,28,TRIANGLE WARD,02,"KOBOKO TECHNICAL
SCHOOL",323,244,,567,567
22529,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,28,TRIANGLE WARD,03,"BRIGHT ACADEMY
PRIMARY SCHOOL",141,122,,263,263
22530,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",01,NORTH DIVISION,28,TRIANGLE WARD,40,"NYARILO SECONDARY
SCHOOL",63,60,,123,123
22531,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,01,ABELE WARD,01,PONYONA MOSQUE,392,370,,762,762
22532,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,01,ABELE WARD,02,"ABELE MOSQUE (ABELE
A‐G )",205,166,,371,371
22533,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,01,ABELE WARD,03,"ABELE PRIMARY
SCHOOL (ABELE H‐Z)",168,162,,330,330
22534,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,05,NYANGILIA WARD,01,"NYANGILIA  PRIMARY
SCHOOL (A‐D)",243,175,,418,418
22535,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,05,NYANGILIA WARD,02,RODO CHURCH,147,142,,289,289
22536,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,05,NYANGILIA WARD,03,NYANGILIA  MOSQUE,223,201,,424,424
22537,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,05,NYANGILIA WARD,04,"NYANGILIA  PRIMARY
SCHOOL (E‐Z)",164,223,,387,387
22538,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,25,APA WARD,01,"GBUKUTU PRIMARY
SCHOOL ‐ GBUKUTU (A‐",214,137,,351,351
22539,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,25,APA WARD,02,"APA  PRIMARY SCHOOL ‐
GBUKUTU (G‐Z)",147,138,,285,285
22540,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,25,APA WARD,03,"KADOGO MANGO TREE ‐
MONDUKUDU",407,358,,765,765
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22541,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,25,APA WARD,04,TAXI PARK,163,279,,442,442
22542,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,01,"BOMA GROUND
(NYARILO A‐F)",277,188,,465,465
22543,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,02,"KOCISONET (ARUMAJI E‐
Z)",193,170,,363,363
22544,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,03,"PANYIMUR FISH
MARKET  (SINYANI  A‐G)",186,135,,321,321
22545,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,04,"PIONEER NURSERY
SCHOOL (SINYANI H‐Z)",160,204,,364,364
22546,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,05,"ST. EMMANUEL
CATHOLIC CHURCH",275,238,,513,513
22547,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,06,"KOBOKO MODERN S.S
(ARUMAJI A‐D)",234,160,,394,394
22548,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,07,"RESOURCE CENTRE
(LIPA A‐D)",282,184,,466,466
22549,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",02,SOUTH DIVISION,26,MENGO WARD,08,"BOMA GROUND
(NYARILO G‐Z)",253,248,,501,501
22550,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,02,AMUNUPI WARD,01,OGO PRIMARY SCHOOL,172,269,,441,441
22551,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,02,AMUNUPI WARD,02,"LASANGA PROTESTANT
CHURCH",140,183,,323,323
22552,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,03,GODIA WARD,01,STAR ACADEMY,382,281,,663,663
22553,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,03,GODIA WARD,02,"BIRIJAKU PRIMARY
SCHOOL (UPPER GODIA)",202,145,,347,347
22554,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,03,GODIA WARD,03,"BIRIJAKU PRIMARY
SCHOOL (UPPER GODIA)",153,193,,346,346
22555,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,03,GODIA WARD,04,"FORMER LC II OFFICE
(LOWER GODIA)",240,207,,447,447
22556,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,04,ISOKO WARD,01,"ADRAMA MANGO TREE
SHADE (A‐J)",263,263,,526,526
22557,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,04,ISOKO WARD,02,"KOBOKO TOWN
COLLEGE‐DRIMU",494,328,,822,822
22558,66,KOBOKO,287,"KOBOKO
MUNICIPALITY",03,WESTERN DIVISION,04,ISOKO WARD,03,"ADRAMA MANGO TREE
SHADE (K‐Z)",202,273,,476,475
22559,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,03,BUNEFULE,01,"BUGOBERO S/C HQTRS
B",287,282,,569,569
22560,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,03,BUNEFULE,02,NAMBALE,200,187,,387,387
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22561,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,13,BUMASOKHO,01,BUMASOKHO PRI SCH,254,206,,460,460
22562,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,13,BUMASOKHO,02,"BUSUMBU CATHOLIC
CHURCH",205,174,,379,379
22563,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,41,"BUGOBERO TOWN
BOARD",01,BUGOBERO GCS,261,218,,480,479
22564,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,41,"BUGOBERO TOWN
BOARD",02,NAKHUPA  'A' P/S,220,195,,418,415
22565,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,57,BUWAKORO,01,"BUWAKORO C.O.U (A‐
M)",362,249,,613,611
22566,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,57,BUWAKORO,02,BUWAKORO C.O.U (N‐Z),249,298,,547,547
22567,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,57,BUWAKORO,03,"BUWAKORO CATHOLIC
CHURCH",174,145,,320,319
22568,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,59,KHABUNGU,01,BUSANGAI CENTRE,189,183,,372,372
22569,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,62,KIWATA,01,KIWATA PRI SCH,279,275,,554,554
22570,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,62,KIWATA,02,BUTUMWA,224,194,,420,418
22571,67,MANAFWA,126,"BUBULO COUNTY
WEST",01,BUGOBERO,64,NABIKULU,01,NABIKULU,227,196,,426,423
22572,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,06,BUMATANDA,01,LWEMUNA PRI SCH,292,275,,569,567
22573,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,06,BUMATANDA,02,"WAPAPARA PLAY
GROUND",251,221,,473,472
22574,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,06,BUMATANDA,03,LOCK UP T.C,256,258,,514,514
22575,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,45,BUMAENA,01,BUWAMAYI,271,246,,518,517
22576,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,45,BUMAENA,02,BUTTA,449,423,,873,872
22577,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,45,BUMAENA,03,MALUKHU,273,251,,525,524
22578,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",01,MUKHUWA,266,244,,511,510
22579,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",02,NABILI,321,288,,609,609
22580,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",03,LWANZA,144,132,,276,276
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22581,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",04,"BUTIRU
COMPREHENSIVE SCH",277,246,,523,523
22582,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",05,MANGO TREE,167,147,,316,314
22583,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",06,BUTIRU SCTY HQTRS,131,109,,240,240
22584,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,54,"BUTIRU TOWN
BOARD",07,"BUTIRU PRIMARY
SCHOOL",209,199,,408,408
22585,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,61,KHATSONGA,01,KATENYA MANGO TREE,228,202,,433,430
22586,67,MANAFWA,126,"BUBULO COUNTY
WEST",02,BUTIRU,61,KHATSONGA,02,KHATSONGA PRI. SCH.,412,400,,817,812
22587,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,10,BUWAGOGO,01,BUNAMAHE PRI SCH,140,145,,285,285
22588,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,10,BUWAGOGO,02,BUTSESILI T/C,173,166,,339,339
22589,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,18,BUKEWA,01,MAKWA T/C,117,100,,217,217
22590,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,18,BUKEWA,02,BUKEWA H/CENTRE,148,169,,317,317
22591,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,37,BUNASAKA,01,"BUWAGOGO SCTY
HQTRS",279,245,,524,524
22592,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,37,BUNASAKA,02,MWIKAYE T/C,200,213,,413,413
22593,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,38,BUWEBOYA,01,BUKEWA PRI SCH,212,219,,431,431
22594,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,39,SHAMUKUNGA,01,"SHAMUKUNGA PRI.
SCH.",207,195,,402,402
22595,67,MANAFWA,126,"BUBULO COUNTY
WEST",03,BUWAGOGO,39,SHAMUKUNGA,02,RURWA,172,196,,368,368
22596,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,09,BUKIMANAYI,01,BUTUWA PRI. SCH. A,213,267,,480,480
22597,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,09,BUKIMANAYI,02,BUTUWA PRI. SCH. B,189,185,,374,374
22598,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,20,BUWANGANI,01,BUWANGANI G.C.S. A,376,332,,709,708
22599,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,20,BUWANGANI,02,BUKITUTU PRI. SCH.,168,179,,347,347
22600,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,20,BUWANGANI,03,"BUKHONE PRIMARY
SCHOOL",122,122,,244,244
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22601,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,48,BUMUKARI,01,SIGUNGA PRI. SCH.,112,113,,225,225
22602,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,48,BUMUKARI,02,SHICHEWA,138,132,,270,270
22603,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,50,BUNABUTSALE,01,BUNABUTSALE A,213,220,,433,433
22604,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,50,BUNABUTSALE,02,BUGIMANAYI  GCS,187,198,,385,385
22605,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,50,BUNABUTSALE,03,BUNABUTSALE B,109,88,,197,197
22606,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,58,"BUWANGANI TOWN
BOARD",01,SHIKUYU PRI SCH,263,258,,521,521
22607,67,MANAFWA,126,"BUBULO COUNTY
WEST",04,KAATO,58,"BUWANGANI TOWN
BOARD",02,SHITIBO,326,264,,590,590
22608,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,02,BULAKO,01,BULAKO PRI SCH,252,248,,500,500
22609,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,02,BULAKO,02,"NAMIKELO CATHOLIC
CHURCH",387,399,,786,786
22610,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,15,BUMATOOLA,01,BUMATOOLA,163,154,,317,317
22611,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,15,BUMATOOLA,02,BUSIKE,176,156,,332,332
22612,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,29,BUNAMUKHEYA,01,"KIMALULI PRIMARY
SCHOOL",178,169,,347,347
22613,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,29,BUNAMUKHEYA,02,ISUNU,307,278,,585,585
22614,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,30,BUWASYEBA,01,WATAKHUNA P/S,225,181,,406,406
22615,67,MANAFWA,126,"BUBULO COUNTY
WEST",05,SIBANGA,30,BUWASYEBA,02,SIBANGA G.C.S,293,269,,562,562
22616,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",08,BUBULO WARD,01,BUBULO COUNTY HQRS,367,302,,669,669
22617,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",08,BUBULO WARD,02,BUBULO GIRLS,256,225,,481,481
22618,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",08,BUBULO WARD,03,"BUBULO HEALTH
CENTRE",254,230,,484,484
22619,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",17,BUBWAYA WARD,01,NANYONZO PRI SCH,219,225,,444,444
22620,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",17,BUBWAYA WARD,02,BUBWAYA PRI SCH A,272,284,,556,556
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
22621,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",17,BUBWAYA WARD,03,BUMAYEKU,225,198,,423,423
22622,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",17,BUBWAYA WARD,04,NAMUTEMBI,122,138,,260,260
22623,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",22,BUMWANGU WARD,01,"NABWIMA TRADING
CENTRE",241,241,,483,482
22624,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",22,BUMWANGU WARD,02,BUMWANGU PRI SCH,391,373,,765,764
22625,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",22,BUMWANGU WARD,03,"BWIRUSA PRIMARY
SCHOOL",277,260,,537,537
22626,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",23,MAYENZE WARD,01,MAYENZE PRI SCH,286,258,,544,544
22627,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",23,MAYENZE WARD,02,ST EDWARDS PRI SCH,134,126,,260,260
22628,67,MANAFWA,126,"BUBULO COUNTY
WEST",06,"MANAFWA TOWN
COUNCIL",23,MAYENZE WARD,03,"ST MARYS COLLEGE
MAYENZE",328,262,,591,590
22629,67,MANAFWA,126,"BUBULO COUNTY
WEST",07,BUKUSU,07,BUNYINZA,01,NAMBALE PRI SCH,227,212,,439,439
